SRC_random Query: Small,Depth,BBoxes,Data Size
"[15, 4, 16, 5]",6,"[14, 3, 16, 5]",4
"[10, 9, 11, 10]",6,"[9, 8, 11, 10]",4
"[12, 11, 13, 12]",6,"[12, 10, 14, 12]",4
"[14, 0, 15, 1]",6,"[13, 0, 15, 2]",4
"[8, 9, 9, 10]",6,"[8, 9, 10, 11]",4
"[9, 14, 10, 15]",6,"[9, 13, 11, 15]",4
"[6, 14, 7, 15]",6,"[6, 14, 8, 16]",4
"[6, 5, 7, 6]",6,"[5, 4, 7, 6]",4
"[3, 15, 4, 16]",6,"[2, 14, 4, 16]",4
"[2, 3, 3, 4]",6,"[2, 2, 4, 4]",4
"[3, 12, 4, 13]",6,"[2, 12, 4, 14]",4
"[9, 3, 10, 4]",6,"[8, 2, 10, 4]",4
"[8, 8, 9, 9]",6,"[8, 8, 10, 10]",4
"[12, 0, 13, 1]",6,"[12, 0, 14, 2]",4
"[13, 3, 14, 4]",6,"[13, 2, 15, 4]",4
"[12, 1, 13, 2]",6,"[12, 1, 14, 3]",4
"[0, 5, 1, 6]",6,"[0, 5, 2, 7]",4
"[14, 9, 15, 10]",6,"[13, 8, 15, 10]",4
"[9, 10, 10, 11]",6,"[8, 10, 10, 12]",4
"[4, 13, 5, 14]",6,"[3, 12, 5, 14]",4
"[14, 4, 15, 5]",6,"[13, 4, 15, 6]",4
"[2, 7, 3, 8]",6,"[2, 6, 4, 8]",4
"[10, 8, 11, 9]",6,"[10, 8, 12, 10]",4
"[13, 7, 14, 8]",6,"[12, 6, 14, 8]",4
"[9, 5, 10, 6]",6,"[8, 5, 10, 7]",4
"[4, 9, 5, 10]",6,"[4, 8, 6, 10]",4
"[12, 13, 13, 14]",6,"[11, 12, 13, 14]",4
"[14, 3, 15, 4]",6,"[14, 2, 16, 4]",4
"[1, 15, 2, 16]",6,"[0, 14, 2, 16]",4
"[6, 9, 7, 10]",6,"[6, 8, 8, 10]",4
"[7, 9, 8, 10]",6,"[6, 9, 8, 11]",4
"[11, 3, 12, 4]",6,"[10, 2, 12, 4]",4
"[0, 13, 1, 14]",6,"[0, 12, 2, 14]",4
